"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"A","管理的職業","01","管理的公務員","011","管理的公務員","011-01","議会議員","国会議員、衆議院議員、参議院議員、地方公共団体議会議員、都道府県議会議員、市区町村議会議員"
"","","","","","","011-02","管理的国家公務員","国務大臣、副大臣、政務官、事務次官、中央府省の局・部・課長、地方支分部局の局・部・課長"
"","","","","","","011-03","管理的地方公務員","知事、副知事、会計管理者（都道府県）、市町村長、副市町村長、会計管理者（市町村）、地方公共団体の局・部・課長、地方公共団体出先機関の長・課長"
"","","02","法人・団体の役員","021","会社役員","021-01","会社役員","CEO（会社最高経営責任者）、会社社長、会社取締役、会社監査役、会社執行役、会社部長（取締役であるもの）、会社工場長（取締役であるもの）"
"","","","","029","その他の法人・団体の役員","029-01","独立行政法人等の役員","独立行政法人役員（理事長、理事、監事）、国立大学法人役員（学長、理事、監事）、地方独立行政法人役員（理事長、理事、監事）、公立大学法人役員（学長、理事、監事）、日本放送協会役員（会長、副会長、理事）、日本銀行役員（総裁、理事、監事）、特殊会社役員（社長、取締役、監査役）"
"","","","","","","029-99","他に分類されない法人・団体の役員","協同組合役員、経営者団体役員、公益財団法人役員、公益社団法人役員、労働組合役員"
"","","03","法人・団体の管理職員","031","会社の管理職員","031-01","会社の管理職員","本社部課長、工場・支店・営業所等の長、工場・支店等の部課長、執行役員（取締役等の会社役員ではないもの）、銀行支店長、営業課長（主に管理的な仕事に従事するもの）、経理課長（主に管理的な仕事に従事するもの）、小売店長（会社：主に管理的な仕事に従事するもの）、卸売店長（会社：主に管理的な仕事に従事するもの）、飲食店長（会社：主に管理的な仕事に従事するもの）、ホテル支配人（会社：主に管理的な仕事に従事するもの）、旅館支配人（会社：主に管理的な仕事に従事するもの）"
"","","","","039","福祉施設管理者","039-01","独立行政法人等の管理職員","独立行政法人の部課長、国立大学法人の部課長、地方独立行政法人の部課長、公立大学法人の部課長、日本銀行の局長・課長、特殊会社の部課長"
"","","","","","","039-02","福祉施設管理者","障害者福祉施設長、特別養護老人ホーム施設長、認知症高齢者グループホーム管理者（主に管理的な仕事に従事するもの）、養護老人ホーム施設長、老人デイサービスセンター管理者（主に管理的な仕事に従事するもの）"
"","","","","","","039-99","他に分類されない法人・団体の管理職員","協同組合部課長、経営者団体部課長、公益財団法人部課長、公益社団法人部課長、私立学校事務長"
"","","04","その他の管理的職業","049","その他の管理的職業","049-99","その他の管理的職業","小売店長（個人事業：主に管理的な仕事に従事するもの）、飲食店長（個人事業：主に管理的な仕事に従事するもの）、旅館支配人（個人事業：主に管理的な仕事に従事するもの）"
"B","専門的・技術的職業","05","研究者","051","研究者","051-01","理学研究者","化学研究者、気象学研究者、数学研究者、生物学研究者、地質学研究者、天文学研究者、物理学研究者"
"","","","","","","051-02","工学研究者","機械工学研究者、建築工学研究者、材料工学研究者、情報工学研究者、生命工学研究者、電気工学研究者、電子工学研究者、土木・建築工学研究者、バイオテクノロジー研究者"
"","","","","","","051-03","農学・林学・水産学研究者","獣医学研究者、水産学研究者、畜産学研究者、農学研究者、林学研究者"
"","","","","","","051-04","医学研究者","歯学研究者、生理学研究者、病理学研究者、薬学研究者"
"","","","","","","051-05","人文科学研究者","教育学研究者、史学研究者、心理学研究者、哲学研究者、美術研究者、文学研究者"
"","","","","","","051-06","社会科学研究者","経営学研究者、経済学研究者、社会学研究者、商学研究者、政治学研究者、法学研究者"
"","","","","","","051-99","他に分類されない研究者","栄養学研究者、家政学研究者、食品化学研究者、メカトロニクス研究者"
"","","06","農林水産技術者","061","農林水産技術者","061-01","農業技術者","農業技術指導員、農業経営指導員、農産物検査員、普及指導員（農業）"
"","","","","","","061-02","畜産技術者 ","家畜人工授精師（獣医師でないもの）、畜産技術指導員、ひな鑑別員、普及指導員（畜産）、孵（ふ）卵技術者、ふん尿処理技術者"
"","","","","","","061-03","林業技術者","山林用種苗技術者、森林病害虫防除技術者、普及指導員（林業）"
"","","","","","","061-04","水産技術者 ","水産資源保護指導員、普及指導員（水産業）、養殖技術者"
"","","07","開発技術者","071","食品開発技術者","071-01","食品開発技術者","水産食品開発技術者、清涼飲料開発技術者、醸造技術者（開発）、乳製品開発技術者"
"","","","","072","電気・電子・電気通信開発技術者（通信ネットワークを除く）","072-01","電気・電子・電気通信設計技術者","液晶ディスプレイ（LCD）設計技術者、回路設計技術者、テレビ設計技術者、電気通信機器設計技術者、電子機器設計技術者、電動機設計技術者、電話機設計技術者、発電機設計技術者"
"","","","","","","072-99","他に分類されない電気・電子・電気通信開発技術者（通信ネットワークを除く）","テレビ開発技術者（設計を除く）、電動機開発技術者（設計を除く）、電話機開発技術者（設計を除く）、発送電開発技術者、発電機開発技術者（設計を除く）、半導体製品開発技術者（設計を除く）"
"","","","","073","機械開発技術者","073-01","機械設計技術者","エンジン設計技術者、化学プラント設計技術者、金型設計士、建設機械設計技術者、航空計器設計技術者、工作機械設計技術者、産業用ロボット設計技術者、精密測定工具設計技術者、土木機械設計技術者、農業用機械設計技術者、半導体製造装置設計技術者、ボイラー設計技術者"
"","","","","","","073-99","他に分類されない機械開発技術者","印刷機械開発技術者（設計を除く）、建設機械開発技術者（設計を除く）、原動機開発技術者（設計を除く）、自動化機械開発技術者（設計を除く）、写真機開発技術者（設計を除く）、精密測定機開発技術者（設計を除く）、染色機械開発技術者（設計を除く）"
"","","","","074","自動車開発技術者","074-01","自動車設計技術者","バスボディー設計技術者"
"","","","","","","074-99","他に分類されない自動車開発技術者","自動車開発技術者（設計を除く）"
"","","","","075","輸送用機器開発技術者（自動車を除く）","075-01","輸送用機器開発技術者（自動車を除く）","航空機設計技術者、船舶設計技術者、造船技術者（開発）、鉄道車両設計技術者"
"","","","","076","金属製錬・材料開発技術者","076-01","金属製錬・材料開発技術者","圧延開発技術者、鋳物開発技術者、金属製錬開発技術者、合金開発技術者、製鉄開発技術者、鍛造開発技術者、鋳造開発技術者、電気精錬開発技術者"
"","","","","077","化学品開発技術者","077-01","化学品開発技術者 ","化学繊維開発技術者、化学肥料開発技術者、化学薬品開発技術者、化粧品開発技術者、合成ゴム開発技術者、高分子化学製品開発技術者、バイオケミカル開発技術者、プラスチック製品開発技術者、油脂製品開発技術者、無機化学製品開発技術者、有機化学製品開発技術者"
"","","","","079","その他の開発技術者","079-01","窯業製品開発技術者","ガラス製品開発技術者、研削材開発技術者、セメント開発技術者、陶磁器開発技術者、ファインセラミックス製品開発技術者"
