"Large","name(Large)","Medium","name(medium)","Small","name(small)","Fine","name(fine)","Applicable example"
"A","管理的職業","01","Administrative civil servant","011","Administrative civil servant","011-01","Parliamentarian","Member of Parliament, Member of the House of Representatives, Member of the House of Representatives, Member of the Local Public Organization, Member of the Prefectural Assembly, Member of the Municipal Assembly"
"","","","","","","011-02","Administrative national civil servant","Minister of State, Deputy Minister, Parliamentary Secretary, Administrative Vice-Minister, Bureau / Department / Section Chief of Central Ministry, Bureau / Department / Section Chief of Local Branch Offices"
"","","","","","","011-03","Administrative local civil servant","Governor, Deputy Governor, Account Manager (Prefecture), Municipal Mayor, Deputy Mayor, Account Manager (Municipal), Bureau / Department / Section Manager of Local Public Organization, Chief / Section Manager of Local Public Organization Branch Office"
"","","02","Corporate / organization officers","021","Company executive","021-01","Company executive","CEO (Chief Executive Officer), Company President, Company Director, Company Auditor, Company Executive Officer, Company Manager (Director), Company Factory Manager (Director)"
"","","","","029","Officers of other corporations / organizations","029-01","Officers of incorporated administrative agencies, etc.","Incorporated Administrative Agency officers (Chairman, Director, Auditor), National University Corporation Officer (President, Director, Auditor), Local Incorporated Administrative Agency Officer (Chairman, Director, Auditor), Public University Corporation Officer (President, Director, Auditor) , Japan Broadcasting Corporation officers (Chairman, Vice Chairman, Directors), Bank of Japan officers (President, Directors, Auditors), Special Company Officers (President, Directors, Audit & Supervisory Board Members)"
"","","","","","","029-99","Officers of corporations and organizations that are not classified elsewhere","Cooperative officers, employers' organization officers, public interest incorporated foundation officers, public interest incorporated association officers, labor union officers"
"","","03","Management staff of corporations / organizations","031","Company management staff","031-01","Company management staff","Headquarters department manager, factory / branch / sales office manager, factory / branch manager, executive officer (not a company officer such as director), bank branch manager, sales manager (mainly engaged in administrative work) (What to do), accounting section chief (mainly engaged in administrative work), retail store manager (company: mainly engaged in administrative work), wholesale store manager (company: mainly engaged in administrative work) (Things), restaurant manager (company: mainly engaged in administrative work), hotel manager (company: mainly engaged in administrative work), inn manager (company: mainly engaged in administrative work) What to do)"
"","","","","039","Welfare facility manager","039-01","Administrative staff of incorporated administrative agencies, etc.","Chief of an independent administrative agency, chief of a national university corporation, chief of a local independent administrative agency, chief of a public university corporation, chief of the Bank of Japan, chief of a special company"
"","","","","","","039-02","Welfare facility manager","Welfare facility manager for the disabled, special elderly nursing home facility manager, dementia elderly group home manager (mainly engaged in administrative work), nursing home facility manager, elderly day service center manager (mainly management) Those who engage in typical work)"
"","","","","","","039-99","Administrative staff of corporations / organizations that are not classified elsewhere","Cooperative Department Manager, Employers' Organization Department Manager, Public Interest Incorporated Foundation Department Manager, Public Interest Incorporated Association Department Manager, Private School Secretary"
