"Small","Name(Small)"
"1001","livestock inseminator"
"1002","General Livestock Consultant"
"1003","primary breeder"
"1004","forestry technician"
"1005","Professional Engineer (Agriculture)"
"1006","Professional Engineer (Forestry Division)"
"1007","Professional Engineer (Fisheries)"
"1099","Other qualifications related to agriculture, forestry and fisheries technology"
"1101","food hygiene manager"
"1102","Food Refrigeration Engineer"
"1103","food safety manager"
"1199","Other food technology-related qualifications"
"1201","Chief Boiler and Turbine Engineer"
"1202","Aircraft factory inspector"
"1203","Chief Electrical Engineer"
"1204","chief electrician"
"1205","Category 3 Chief Electrical Engineer"
"1206","Class 1 Electrical Construction Management Engineer"
"1207","Level 2 Electrical Construction Management Engineer"
"1208","Chief Telecommunications Engineer (Transmission Switching)"
"1209","Chief Telecommunications Engineer (Transmission Switching)"
"1210","Chief Telecommunications Engineer (Lines)"
"1211","1st class instrumentation engineer"
"1212","Level 2 Instrumentation Engineer"
"1214","Responsible for Quasi-drugs"
"1215","Medical Device Manager"
"1216","chief nuclear engineer"
"1217","nuclear fuel handling supervisor"
"1218","Category 1 radiation protection supervisor"
"1219","Type 2 radiation protection supervisor"
"1222","Person in charge of safety in the manufacture of Class-A explosives"
"1223","Class B Explosives Manufacturing Safety Manager"
"1224","C-type explosives production safety manager"
"1225","High Pressure Gas Production Safety Manager (Class A Chemistry)"
"1226","High Pressure Gas Production Safety Manager (Class A machine)"
"1227","High Pressure Gas Production Safety Manager (Class 1 Refrigeration Machinery)"
"1231","Professional Engineer (Mechanical Division)"
"1232","Professional Engineer (Electrical and Electronics Division)"
"1233","Professional Engineer (Metalworking)"
"1234","Professional Engineer (Chemistry)"
"1235","Professional Engineer (Biotechnology)"
"1236","Professional Engineer (Natural Resources Engineering)"
"1237","blasting engineer"
"1299","Other qualifications related to mining engineering"
"1301","first-class architect"
"1302","second class architect"
"1303","woodworker"
"1304","building equipment engineer"
"1305","Class 1 construction equipment installation engineer"
"1306","Class 2 Construction Equipment Construction Engineer"
"1307","interior designer"
"1308","interior coordinator"
"1309","commercial real estate agent"
"1310","Building Equipment Inspector"
"1311","Elevator and escalator inspectors"
"1312","special building surveyor"
"1313","Environmental Health Management Engineer for Buildings"
"1314","facilities manager"
"1315","Class 1 Construction Management Engineer"
"1316","Class 2 Construction Management Engineer"
"1317","Professional Engineer (Construction)"
"1318","building surveyor"
"1319","Steel frame production management engineer"
"1320","Associate Level 1 of the Architectural CAD Exam"
"1321","Level 2 of the Architectural CAD Exam"
